state,idProduct,combinacion_id,referencia,referencia_combinacion,cantidad,cantidad_referencia,ean13_producto,ean13_combinacion,precio_producto,precio_combinacion,precio_mayor,precio_m_combinacion
1.0,431.0,,1016,,0.0,,8400000005289,,9.140496,,3.66,
1.0,433.0,,2016,,0.0,,8400000005296,,17.092243,,8.32,
1.0,435.0,,LH56,,6.0,,8400000004350,,15.0,,5.13,
1.0,437.0,,DC12WKR-MAD,,22.0,,8400000005319,,4.906646,,1.45,
1.0,441.0,,2CAMP-UFO150W-55K,,500.0,,8400000005326,,192.383925,,163.0,
1.0,442.0,,2CAMP-UFO150W-4K,,500.0,,8400000005333,,192.383925,,163.0,
1.0,443.0,443.0,3CAMP-UFO150W-55K,4118,500.0,1685.0,8400000005340,8400000004435,282.163087,0.0,237.0,0.0
1.0,444.0,444.0,,4095,40.0,1473.0,8400000004442,8400000004442,66.107438,0.0,46.13,0.0
1.0,445.0,445.0,10PANEL-30X30-6K,4071,500.0,1027.0,8400000005371,8400000004459,128.255949,0.0,99.5,0.0
1.0,446.0,,6PANEL-30X60-6K,,500.0,,8400000005388,,128.255949,,98.0,
1.0,448.0,,10PANEL-30X30,,500.0,,8400000005395,,61.983471,,99.5,
1.0,449.0,449.0,PERF009,7012,0.0,377.0,,8400000003544,2.049999,0.0,1.23,0.0
1.0,454.0,454.0,7142,DOW20WC2206K,422.0,300.0,8400000005418,8400000001694,3.933182,0.0,1.0,0.0
1.0,456.0,,SOPORTE1TUX120-2L,,0.0,,8400000005425,,4.916478,,1.3,
1.0,457.0,457.0,LM1053,TIRAIP65-6K-2,1196.0,97.0,8400000005432,8400000001977,5.899774,2479339.0,1.3,0.0
1.0,458.0,458.0,LM21607,TIRAIP65-6K-3,200.0,91.0,8400000005449,8400000001984,5.976729,4132231.0,2.5,0.0
1.0,459.0,459.0,9110,TIRAIP65-6K-4,0.0,98.0,8400000009195,8400000002004,8.22314,5785124.0,5.99,0.0
1.0,460.0,,289,,0.0,,8400000005463,,183.0,,732.0,
1.0,461.0,,FUENTE24V400W,,200.0,,8400000005470,,31.46546,,17.48,
1.0,462.0,,,,0.0,,8400000021997,,12.190083,,7.55,
1.0,464.0,,CONMOREC-N,,193.0,,8400000923929,,2.900723,,1.5,
1.0,465.0,,8015N,,20.0,,8400000004657,,2.2,,0.59,
1.0,482.0,,TIRAIP65220VRGB,,0.0,,8400000005562,,15.732729,,0.0,
1.0,483.0,,,,60.0,,8400000004831,,28.842975,,14.62,
1.0,484.0,,EFD16W,,0.0,,8400000759306,,6.096434,,5.0,
1.0,486.0,486.0,1126FL,TIRAIP6556K,200.0,100.0,8400000005630,8400000003599,5.702479,7438017.0,5.65,0.0
1.0,487.0,487.0,7160,TIRAIP65106K,20.0,100.0,8400000005647,8400000003605,3.0,15702479.0,1.7,0.0
1.0,488.0,488.0,1125FL,TIRAIP65156K,200.0,100.0,8400000005654,8400000003612,9.876033,23966942.0,7.75,0.0
1.0,489.0,489.0,PANT150CM2T,TIRAIP65206K,123.0,100.0,8400000005661,8400000003629,11.528926,32231405.0,9.85,0.0
1.0,495.0,495.0,,TR220V1M6K,34.0,99.0,8400000004954,8400000003681,133.71,0.0,52.15,0.0
1.0,498.0,498.0,9012,TIRAIP65-6K-4,20.0,100.0,8400000004985,8400000003711,12.355372,5785124.0,6.35,0.0
1.0,499.0,499.0,9011,TIRAIP6556K,20.0,100.0,8400000004992,8400000003728,20.867769,7438017.0,6.51,0.0
1.0,500.0,500.0,,TIRAIP65106K,2584.0,100.0,8400000005005,8400000003735,2438017.0,15702479.0,189.0,0.0
1.0,501.0,501.0,,TIRAIP65156K,0.0,100.0,8400000005012,8400000003742,22.188279,23966942.0,12.03,0.0
1.0,509.0,509.0,DRIVER-R-36W,TIRAIP65-6K-2,10.0,100.0,8400000005784,8400000003827,11.799546,2479339.0,0.0,0.0
1.0,510.0,510.0,,TIRAIP65-6K-3,45.0,100.0,8400000005104,8400000003834,1.9,4132231.0,1.4,0.0
1.0,524.0,,,,2317.0,,8400000005241,,2163251.0,,14.0,
1.0,526.0,,,,38.0,,8400000005265,,46.198347,,26.74,
1.0,527.0,,,,40.0,,,,6.330579,,3.1,
1.0,528.0,,,,27.0,,8400000005289,,5.675286,,2.71,
1.0,529.0,,,,40.0,,,,8.109999,,3.38,
1.0,530.0,,,,473.0,,8400000000161,,12.0,,4.98,
1.0,531.0,,,,60.0,,8400000005319,,8.181818,,4.98,
1.0,532.0,,,,60.0,,8400000005326,,16.0,,6.65,
1.0,533.0,,,,59.0,,,,10.661157,,6.65,
1.0,534.0,,,,350.0,,8400000005340,,19.0,,823.0,
1.0,535.0,,,,813.0,,,,20578512.0,,1465.0,
1.0,536.0,,,,20.0,,,,17.768595,,8.02,
1.0,537.0,,,,214.0,,,,29173554.0,,1831.0,
1.0,539.0,,,,35.0,,8400000005395,,3.236223,,1.77,
1.0,540.0,,,,137.0,,8400004000232,,3.771627,,2.06,
1.0,541.0,,,,0.0,,8400000000933,,26.6,,8.69,
1.0,543.0,,,,0.0,,8400000000483,,287.293325,,180.0,
1.0,544.0,,,,0.0,,8400000000493,,692.582126,,450.0,
1.0,545.0,,,,40.0,,8400000005456,,5.876033,,2.93,
1.0,546.0,,,,60.0,,8400000005463,,9.104463,,4.68,
1.0,547.0,,,,60.0,,8400000005470,,11.072762,,5.68,
1.0,549.0,,,,40.0,,8400000005494,,24.533226,,11.7,
1.0,550.0,,2018,,8.0,,8400000006415,,38.500447,,10.53,
1.0,552.0,,,,134.0,,8400000005524,,103.305785,,50.0,
1.0,553.0,,,,0.0,,8400000000834,,27.483114,,10.97,
1.0,554.0,,,,40.0,,,,206.61157,,100.0,
1.0,555.0,,,,38.0,,,,516.528924,,250.0,
1.0,556.0,,,,60.0,,8400000005562,,29.669421,,16.71,
1.0,557.0,,2054,,0.0,,8400000006514,,58.534311,,33.42,
1.0,558.0,,,,20.0,,8400000000604,,20.578512,,14.65,
1.0,559.0,,,,0.0,,8400000000611,,11.681552,,0.0,
1.0,560.0,560.0,,PAN5WSMD,60.0,78.0,8400000005609,8400000003889,2.471074,0.0,1.42,0.0
1.0,561.0,561.0,,PAN5SMD4K,0.0,93.0,8400000000935,8400000003896,1.644628,0.0,1.28,0.0
